City hub,Github Users,Population
Paris,7895,2249975
Nantes Métropole,642,582159
Grenoble Alpes Métropole,484,444810
Toulouse Métropole,774,714332
Montpellier Agglomération,429,423842
Rennes Métropole,396,413953
Grand Lyon,1134,1306972
Bordeaux Métropole,570,727256
Strasbourg (Communauté urbaine),307,473187
Grand Nancy,153,256966
Région de Compiègne,43,74000
Plateau de Saclay,70,121276
Levallois-Perret,37,64629
Lille Métropole,630,1112470
Brest métropole océane,114,206893
Le Mans Métropole,95,197953
Annecy,66,140865
Pau-Pyrénées,60,150539
Métropole Nice Côte d'Azur,200,538613
Sophia Antipolis,64,176933
Pays d'Aix,144,402040
Clermont Communauté,99,286818
Côte Basque-Adour,42,123619
Grand Troyes,42,129235
Pays de Dreux,36,112000
La Rochelle,52,162781
Caen la Mer,75,236271
Metz Métropole,73,230334
Grand Paris Seine Ouest,91,303094
Agglomération Belfortaine,28,96011
Versailles Grand Parc,53,182969
Grand Besançon,51,176339
Grand Poitiers,40,138485
Valence-Romans Sud Rhône-Alpes,59,211506
Évry Centre Essonne,32,114750
Chambéry métropole,34,122696
Tours Plus,79,287234
Marseille Provence Métropole,284,1038940
Orléans Val de Loire,74,272172
Limoges Métropole,56,207581
Val de Bièvre,50,197515
Grand Avignon,45,182763
Laval Agglomération,23,95838
Rouen - La CREA,113,486519
Le Havre - CODAH,55,238151
Pays Ajaccien,17,76562
Angers Loire Métropole,56,264689
Arras,20,101879
Calaisis,19,97010
Mont-Valérien,42,215334
Reims Métropole,43,221255
Amiens Métropole,34,179098
Pays de Lérins,30,158349
Seine-Défense,25,132222
Pays de Vannes,25,135382
Colombes,15,85102
Grand Dijon,44,251179
Niortais,20,116000
Béziers Méditerranée,17,110589
Châtillon-Montrouge,12,81216
Agglomération de Saint-Quentin,11,74676
Neuilly-sur-Seine,9,61797
Saint-Étienne Métropole,55,386940
Perpignan Méditerranée,39,283173
Cergy-Pontoise,27,197187
Pays Châtelleraudais,7,53005
Pays de Grasse,13,101301
Portes de France-Thionville,10,78514
Bassin de Thau,12,95196
Arles-Crau-Camargue-Montagnette,10,81139
Agglomération du Gapençais,5,41866
Montélimar-Sésame,6,51668
Valenciennes Métropole,22,190528
Charleville-Mézières / Sedan,15,130000
Grand Montauban,8,69394
Grand Angoulême,12,105421
Est Ensemble,45,397797
Agglomération de l'Albigeois,9,80121
Toulon Provence Méditerranée,46,422405
Quimper Communauté,9,86705
Mulhouse Alsace Agglomération (M2A),27,262804
Nîmes Métropole,23,233257
Annemasse - Les Voirons Agglomération,8,84003
Europ'Essonne,14,148544
Région Nazairienne,11,117470
Agglomération de Blois,8,88270
Roannais Agglomération,9,101405
Thonon-les-Bains,3,33928
Chartres Métropole,11,124690
La Réunion - CIREST,1,11404
Lorient Agglomération,17,198810
Asnières-sur-Seine,7,83376
Mâconnais - Val de Saône,5,61808
Communauté de l'Auxerrois,5,63877
Seine Amont,14,180371
Hauts-de-Bièvre,14,182477
Carcassonne Agglo,8,105104
Sud de Seine,11,144959
Le Grand Chalon,8,106224
La Roche-sur-Yon Agglomération,7,95638
Melun Val de Seine,8,109367
Plaine Centrale du Val-de-Marne,11,153901
Colmar,7,101917
Var Estérel Méditerranée,7,107547
Aéroport du Bourget,6,92396
Épinal,5,81237
Grand Évreux,5,81614
Région de Haguenau,3,50000
Saint-Brieuc Agglomération,7,120305
Communauté intercommunale du nord de La Réunion,11,190624
Le Grand Narbonne,7,125487
Agglomération d'Agen,5,92042
Ouest Parisien,3,58623
Communauté d'agglomération du Parisis,9,180748
Plaine-Commune,20,407007
Pays d'Aubagne et de l'Étoile,5,104003
Saint-Quentin-en-Yvelines,7,146598
Seine et Forêts,5,105000
Livry-Gargan,2,42036
Vallée de la Marne,3,65009
Lens-Liévin,11,244561
Mantes-en-Yvelines,5,112767
Poissy–Achères–Conflans,4,92850
Agglomération creilloise,3,72000
Val de Sambre,5,126336
Grand Tarbes,3,78493
Agglomération du Beauvaisis,3,79342
Saint-Malo,3,79697
Argenteuil-Bezons,5,132878
Castres - Mazamet,3,79849
Agglomération de Brive,3,80253
Le Marsan Agglomération,2,53526
Agglomération du Choletais,3,80416
Pays de Meaux,3,82772
Agglomération de Bastia,2,55731
Dunkerque Grand Littoral,7,200104
Brie Francilienne,2,57882
Les Lacs de l'Essonne,2,58683
Noisy-le-Grand,2,62970
Bourges Plus,3,96531
Agglomération Seine-Essonne,2,65089
Ouest Provence,3,97940
Agglomération de Nevers,2,68734
Boucle de la Seine,5,172316
Pays de Martigues (CAPM),2,69185
Agglomération de Bourg-en-Bresse,2,71274
Agglomération de Châlons-en-Champagne,2,72902
Douaisis,4,152258
Marne et Chantereine,2,76233
Villefranche-Beaujolais-Saône,2,76593
Gagny,1,39378
Val d'Orge,3,133177
Le Blanc-Mesnil,1,51916
Cap Excellence,2,105575
Maisons-Alfort,1,53265
Centre Littoral,2,117222
Agglopole Provence,2,138683
Agglomération castelroussine,1,75094
Champigny-sur-Marne,1,75800
Agglomération de Cambrai,1,76128
Cherbourg,1,81690
Roissy Porte de France,1,85176
CIVIS,2,171890
Alès Agglomération,1,100090
Les Portes de l'Essonne,1,101650
Agglomération Dracénoise,1,102060
TCO,2,214106
Terres de France,1,120355
Val de France,1,165969
Centre de la Martinique,1,167961
Agglomération montluçonnaise,0,59944
Plaine de France,0,120355
Saint-Maur-des-Fossés,0,74818
Boulonnais,0,118261
La Réunoin - CASUD,0,117691
Dieppe maritime,0,50990
Fontenay-sous-Bois,0,52723
Villeneuve-Saint-Georges,0,32767
Vexin Centre Seine Aval,0,66896
